x,y,z
-4.0,-4.0,26.0
-3.92,-4.0,25.94064896
-3.84,-4.0,26.690319360000004
-3.76,-4.0,28.201333760000004
-3.68,-4.0,30.42699776
-3.6,-4.0,33.321600000000004
-3.52,-4.0,36.84041216000001
-3.44,-4.0,40.93968896000001
-3.36,-4.0,45.57666816000002
-3.2800000000000002,-4.0,50.709570559999975
-3.2,-4.0,56.29759999999999
-3.12,-4.0,62.30094335999998
-3.04,-4.0,68.68077056000001
-2.96,-4.0,75.39923456
-2.88,-4.0,82.41947136000002
-2.8,-4.0,89.7056
-2.7199999999999998,-4.0,97.22272256000004
-2.6399999999999997,-4.0,104.93692416000002
-2.56,-4.0,112.81527296
-2.48,-4.0,120.82582015999998
-2.4,-4.0,128.9376
-2.3200000000000003,-4.0,137.12062975999999
-2.24,-4.0,145.34590975999996
-2.16,-4.0,153.58542335999996
-2.08,-4.0,161.81213696
-2.0,-4.0,170.0
-1.92,-4.0,178.12394496000002
-1.8399999999999999,-4.0,186.15988736
-1.7599999999999998,-4.0,194.08472576
-1.6800000000000002,-4.0,201.87634176
-1.6,-4.0,209.5136
-1.52,-4.0,216.97634816000001
-1.44,-4.0,224.24541696000003
-1.3599999999999999,-4.0,231.30262016000006
-1.2799999999999998,-4.0,238.13075456
-1.1999999999999997,-4.0,244.7136
-1.12,-4.0,251.03591935999998
-1.04,-4.0,257.08345856000005
-0.96,-4.0,262.84294656
-0.8799999999999999,-4.0,268.30209536
-0.7999999999999998,-4.0,273.4496
-0.7199999999999998,-4.0,278.27513856
-0.6400000000000001,-4.0,282.76937215999993
-0.56,-4.0,286.92394496
-0.48,-4.0,290.73148416000004
-0.3999999999999999,-4.0,294.18559999999997
-0.31999999999999984,-4.0,297.28088576000005
-0.23999999999999977,-4.0,300.01291776
-0.16000000000000014,-4.0,302.37825535999997
-0.08000000000000007,-4.0,304.37444096
0.0,-4.0,306.0
0.08000000000000007,-4.0,307.25444096
0.16000000000000014,-4.0,308.13825535999996
0.2400000000000002,-4.0,308.65291776000004
0.3200000000000003,-4.0,308.80088576
0.40000000000000036,-4.0,308.58559999999994
0.4800000000000004,-4.0,308.01148416
0.5600000000000005,-4.0,307.08394496000005
0.6399999999999997,-4.0,305.80937216
0.7199999999999998,-4.0,304.19513856
0.7999999999999998,-4.0,302.2496
0.8799999999999999,-4.0,299.98209535999996
0.96,-4.0,297.40294656000003
1.04,-4.0,294.52345856
1.12,-4.0,291.35591936000003
1.2000000000000002,-4.0,287.9136
1.2800000000000002,-4.0,284.21075456
1.3600000000000003,-4.0,280.26262016
1.4400000000000004,-4.0,276.08541696000003
1.5200000000000005,-4.0,271.69634815999996
1.6000000000000005,-4.0,267.11359999999996
1.6799999999999997,-4.0,262.3563417600001
1.7599999999999998,-4.0,257.44472576
1.8399999999999999,-4.0,252.39988735999998
1.92,-4.0,247.24394496000008
2.0,-4.0,242.0
2.08,-4.0,236.69213695999997
2.16,-4.0,231.34542335999998
2.24,-4.0,225.98590976000003
2.3200000000000003,-4.0,220.64062976
2.4000000000000004,-4.0,215.33759999999995
2.4800000000000004,-4.0,210.10582015999998
2.5600000000000005,-4.0,204.97527296
2.6400000000000006,-4.0,199.97692415999995
2.7199999999999998,-4.0,195.14272255999998
2.8,-4.0,190.50560000000002
2.88,-4.0,186.09947135999997
2.96,-4.0,181.95923456000003
3.04,-4.0,178.12077055999998
3.12,-4.0,174.62094336
3.2,-4.0,171.49759999999995
3.2800000000000002,-4.0,168.78957056000002
3.3600000000000003,-4.0,166.53666815999998
3.4400000000000004,-4.0,164.77968896000002
3.5200000000000005,-4.0,163.56041215999997
3.6000000000000005,-4.0,162.92160000000004
3.6799999999999997,-4.0,162.90699776
3.76,-4.0,163.56133375999994
3.84,-4.0,164.93031936
3.92,-4.0,167.06064896000007
4.0,-4.0,170.0
-4.0,-3.92,20.23184895999999
-3.92,-3.92,19.969745919999987
-3.84,-3.92,20.518712319999988
-3.76,-3.92,21.831070719999992
-3.68,-3.92,23.86012671999999
-3.6,-3.92,26.560168959999988
-3.52,-3.92,29.886469119999994
-3.44,-3.92,33.79528192
-3.36,-3.92,38.24384512
-3.2800000000000002,-3.92,43.190379519999965
-3.2,-3.92,48.59408895999998
-3.12,-3.92,54.41516031999997
-3.04,-3.92,60.61476352
-2.96,-3.92,67.15505151999999
-2.88,-3.92,73.99916032
-2.8,-3.92,81.11120895999998
-2.7199999999999998,-3.92,88.45629952000002
-2.6399999999999997,-3.92,96.00051712000001
-2.56,-3.92,103.71092991999996
-2.48,-3.92,111.55558912
-2.4,-3.92,119.50352895999998
-2.3200000000000003,-3.92,127.52476671999995
-2.24,-3.92,135.59030271999998
-2.16,-3.92,143.67212031999998
-2.08,-3.92,151.74318591999995
-2.0,-3.92,159.77744896
-1.92,-3.92,167.74984191999997
-1.8399999999999999,-3.92,175.63628032000003
-1.7599999999999998,-3.92,183.41366272
-1.6800000000000002,-3.92,191.05987072
-1.6,-3.92,198.55376895999999
-1.52,-3.92,205.87520512
-1.44,-3.92,213.00500991999996
-1.3599999999999999,-3.92,219.92499711999997
-1.2799999999999998,-3.92,226.61796352000002
-1.1999999999999997,-3.92,233.06768896
-1.12,-3.92,239.25893631999995
-1.04,-3.92,245.17745151999998
-0.96,-3.92,250.80996351999997
-0.8799999999999999,-3.92,256.14418431999997
-0.7999999999999998,-3.92,261.16880896
-0.7199999999999998,-3.92,265.87351552
-0.6400000000000001,-3.92,270.24896512
-0.56,-3.92,274.28680192
-0.48,-3.92,277.97965311999997
-0.3999999999999999,-3.92,281.32112895999995
-0.31999999999999984,-3.92,284.30582272
-0.23999999999999977,-3.92,286.92931072
-0.16000000000000014,-3.92,289.18815232000003
-0.08000000000000007,-3.92,291.07988991999997
0.0,-3.92,292.60304895999997
0.08000000000000007,-3.92,293.75713792
0.16000000000000014,-3.92,294.54264832
0.2400000000000002,-3.92,294.96105471999994
0.3200000000000003,-3.92,295.01481471999995
0.40000000000000036,-3.92,294.70736895999994
0.4800000000000004,-3.92,294.0431411199999
0.5600000000000005,-3.92,293.02753792
0.6399999999999997,-3.92,291.66694912
0.7199999999999998,-3.92,289.96874751999997
0.7999999999999998,-3.92,287.94128896
0.8799999999999999,-3.92,285.59391231999996
0.96,-3.92,282.93693952
1.04,-3.92,279.98167551999995
1.12,-3.92,276.74040832
1.2000000000000002,-3.92,273.22640895999996
1.2800000000000002,-3.92,269.45393151999997
1.3600000000000003,-3.92,265.43821311999994
1.4400000000000004,-3.92,261.19547392
1.5200000000000005,-3.92,256.7429171199999
1.6000000000000005,-3.92,252.09872895999996
1.6799999999999997,-3.92,247.28207871999996
1.7599999999999998,-3.92,242.31311871999992
1.8399999999999999,-3.92,237.21298432
1.92,-3.92,232.00379392
2.0,-3.92,226.70864895999995
2.08,-3.92,221.35163391999993
2.16,-3.92,215.95781631999998
2.24,-3.92,210.55324672
2.3200000000000003,-3.92,205.16495871999996
2.4000000000000004,-3.92,199.8209689599999
2.4800000000000004,-3.92,194.55027711999992
2.5600000000000005,-3.92,189.38286591999997
2.6400000000000006,-3.92,184.34970111999993
2.7199999999999998,-3.92,179.48273151999996
2.8,-3.92,174.81488896
2.88,-3.92,170.38008831999994
2.96,-3.92,166.21322752
3.04,-3.92,162.35018751999996
3.12,-3.92,158.82783232
3.2,-3.92,155.68400895999991
3.2800000000000002,-3.92,152.95754752
3.3600000000000003,-3.92,150.68826111999994
3.4400000000000004,-3.92,148.91694592
3.5200000000000005,-3.92,147.68538111999996
3.6000000000000005,-3.92,147.03632895999996
3.6799999999999997,-3.92,147.01353471999997
3.76,-3.92,147.6617267199999
3.84,-3.92,149.02661631999996
3.92,-3.92,151.15489792000002
4.0,-3.92,154.09424896
-4.0,-3.84,15.375119359999998
-3.92,-3.84,14.912312319999996
-3.84,-3.84,15.26262272
-3.76,-3.84,16.37837312
-3.68,-3.84,18.212869119999997
-3.6,-3.84,20.720399359999995
-3.52,-3.84,23.85623552
-3.44,-3.84,27.57663232000001
-3.36,-3.84,31.838827520000013
-3.2800000000000002,-3.84,36.60104191999997
-3.2,-3.84,41.82247935999998
-3.12,-3.84,47.463326719999976
-3.04,-3.84,53.48475392
-2.96,-3.84,59.84891391999999
-2.88,-3.84,66.51894272000001
-2.8,-3.84,73.45895936
-2.7199999999999998,-3.84,80.63406592000003
-2.6399999999999997,-3.84,88.01034752000001
-2.56,-3.84,95.55487231999999
-2.48,-3.84,103.23569151999997
-2.4,-3.84,111.02183935999999
-2.3200000000000003,-3.84,118.88333311999997
-2.24,-3.84,126.79117311999995
-2.16,-3.84,134.71734271999998
-2.08,-3.84,142.63480832
-2.0,-3.84,150.51751936
-1.92,-3.84,158.34040832
-1.8399999999999999,-3.84,166.07939072
-1.7599999999999998,-3.84,173.71136511999998
-1.6800000000000002,-3.84,181.21421312
-1.6,-3.84,188.56679935999998
-1.52,-3.84,195.74897152
-1.44,-3.84,202.74156032000002
-1.3599999999999999,-3.84,209.52637952000003
-1.2799999999999998,-3.84,216.08622592
-1.1999999999999997,-3.84,222.40487936
-1.12,-3.84,228.46710271999996
-1.04,-3.84,234.25864192
-0.96,-3.84,239.76622592
-0.8799999999999999,-3.84,244.97756672000003
-0.7999999999999998,-3.84,249.88135935999998
-0.7199999999999998,-3.84,254.46728192
-0.6400000000000001,-3.84,258.72599551999997
-0.56,-3.84,262.64914431999995
-0.48,-3.84,266.22935552
-0.3999999999999999,-3.84,269.46023936
-0.31999999999999984,-3.84,272.33638912
-0.23999999999999977,-3.84,274.85338112
-0.16000000000000014,-3.84,277.00777471999993
-0.08000000000000007,-3.84,278.79711232
0.0,-3.84,280.21991935999995
0.08000000000000007,-3.84,281.27570432
0.16000000000000014,-3.84,281.96495871999997
0.2400000000000002,-3.84,282.28915711999997
0.3200000000000003,-3.84,282.25075712
0.40000000000000036,-3.84,281.85319935999996
0.4800000000000004,-3.84,281.10090752
0.5600000000000005,-3.84,279.99928832
0.6399999999999997,-3.84,278.55473152
0.7199999999999998,-3.84,276.77460992
0.7999999999999998,-3.84,274.66727936
0.8799999999999999,-3.84,272.24207872
0.96,-3.84,269.50932992
1.04,-3.84,266.48033792
1.12,-3.84,263.16739072
1.2000000000000002,-3.84,259.58375935999993
1.2800000000000002,-3.84,255.74369792
1.3600000000000003,-3.84,251.66244351999998
1.4400000000000004,-3.84,247.35621632
1.5200000000000005,-3.84,242.84221951999996
1.6000000000000005,-3.84,238.13863935999996
1.6799999999999997,-3.84,233.26464512
1.7599999999999998,-3.84,228.24038912
1.8399999999999999,-3.84,223.08700671999998
1.92,-3.84,217.82661631999997
2.0,-3.84,212.48231936
2.08,-3.84,207.07820032000004
2.16,-3.84,201.63932671999999
2.24,-3.84,196.19174911999994
2.3200000000000003,-3.84,190.76250111999997
2.4000000000000004,-3.84,185.37959936
2.4800000000000004,-3.84,180.07204351999997
2.5600000000000005,-3.84,174.86981631999993
2.6400000000000006,-3.84,169.80388351999994
2.7199999999999998,-3.84,164.90619391999996
2.8,-3.84,160.20967936000002
2.88,-3.84,155.74825471999998
2.96,-3.84,151.55681792000001
3.04,-3.84,147.67124991999998
3.12,-3.84,144.12841472
3.2,-3.84,140.96615935999995
3.2800000000000002,-3.84,138.22331392
3.3600000000000003,-3.84,135.93969151999997
3.4400000000000004,-3.84,134.15608832
3.5200000000000005,-3.84,132.91428351999997
3.6000000000000005,-3.84,132.25703936
3.6799999999999997,-3.84,132.22810112
3.76,-3.84,132.87219712
3.84,-3.84,134.23503872
3.92,-3.84,136.36332031999993
4.0,-3.84,139.30471935999998
-4.0,-3.76,11.382133759999995
-3.92,-3.76,10.720670719999992
-3.84,-3.76,10.874373119999994
-3.76,-3.76,11.795563519999995
-3.68,-3.76,13.437547519999994
-3.6,-3.76,15.754613759999993
-3.52,-3.76,18.702033919999998
-3.44,-3.76,22.236062720000003
-3.36,-3.76,26.313937920000008
-3.2800000000000002,-3.76,30.893880319999965
-3.2,-3.76,35.93509375999998
-3.12,-3.76,41.397765119999974
-3.04,-3.76,47.243064319999995
-2.96,-3.76,53.43314431999998
-2.88,-3.76,59.93114112000001
-2.8,-3.76,66.70117375999999
-2.7199999999999998,-3.76,73.70834432000002
-2.6399999999999997,-3.76,80.91873792000001
-2.56,-3.76,88.29942271999997
-2.48,-3.76,95.81844991999999
-2.4,-3.76,103.44485375999999
-2.3200000000000003,-3.76,111.14865151999993
-2.24,-3.76,118.90084352
-2.16,-3.76,126.67341311999999
-2.08,-3.76,134.43932671999997
-2.0,-3.76,142.17253376
-1.92,-3.76,149.84796672
-1.8399999999999999,-3.76,157.44154112000004
-1.7599999999999998,-3.76,164.93015552
-1.6800000000000002,-3.76,172.29169152
-1.6,-3.76,179.50501375999997
-1.52,-3.76,186.54996992
-1.44,-3.76,193.40739071999997
-1.3599999999999999,-3.76,200.05908991999996
-1.2799999999999998,-3.76,206.48786432000003
-1.1999999999999997,-3.76,212.67749376
-1.12,-3.76,218.61274111999998
-1.04,-3.76,224.27935232
-0.96,-3.76,229.66405632
-0.8799999999999999,-3.76,234.75456512
-0.7999999999999998,-3.76,239.53957376000002
-0.7199999999999998,-3.76,244.00876032
-0.6400000000000001,-3.76,248.15278591999999
-0.56,-3.76,251.96329472
-0.48,-3.76,255.43291391999998
-0.3999999999999999,-3.76,258.55525375999997
-0.31999999999999984,-3.76,261.32490752
-0.23999999999999977,-3.76,263.73745152000004
-0.16000000000000014,-3.76,265.78944512
-0.08000000000000007,-3.76,267.47843071999995
0.0,-3.76,268.80293376
0.08000000000000007,-3.76,269.76246272
0.16000000000000014,-3.76,270.35750912000003
0.2400000000000002,-3.76,270.58954751999994
0.3200000000000003,-3.76,270.46103551999994
0.40000000000000036,-3.76,269.97541376
0.4800000000000004,-3.76,269.13710591999995
0.5600000000000005,-3.76,267.95151871999997
0.6399999999999997,-3.76,266.42504192
0.7199999999999998,-3.76,264.56504831999996
0.7999999999999998,-3.76,262.37989376
0.8799999999999999,-3.76,259.87891712
0.96,-3.76,257.07244032
1.04,-3.76,253.97176831999997
1.12,-3.76,250.58918912000001
1.2000000000000002,-3.76,246.93797375999998
1.2800000000000002,-3.76,243.03237631999997
1.3600000000000003,-3.76,238.88763391999996
1.4400000000000004,-3.76,234.51996671999999
1.5200000000000005,-3.76,229.94657791999992
1.6000000000000005,-3.76,225.18565375999995
1.6799999999999997,-3.76,220.25636351999998
1.7599999999999998,-3.76,215.17885952
1.8399999999999999,-3.76,209.97427712
1.92,-3.76,204.66473472
2.0,-3.76,199.27333375999996
2.08,-3.76,193.82415871999993
2.16,-3.76,188.34227712
2.24,-3.76,182.85373952000003
2.3200000000000003,-3.76,177.38557951999994
2.4000000000000004,-3.76,171.96581375999995
2.4800000000000004,-3.76,166.62344191999995
2.5600000000000005,-3.76,161.38844672
2.6400000000000006,-3.76,156.29179391999995
2.7199999999999998,-3.76,151.36543231999997
2.8,-3.76,146.64229376
2.88,-3.76,142.15629311999996
2.96,-3.76,137.94232832
3.04,-3.76,134.03628031999995
3.12,-3.76,130.47501312
3.2,-3.76,127.29637375999994
3.2800000000000002,-3.76,124.53919231999998
3.3600000000000003,-3.76,122.24328191999996
3.4400000000000004,-3.76,120.44943871999999
3.5200000000000005,-3.76,119.19944191999996
3.6000000000000005,-3.76,118.53605375999999
3.6799999999999997,-3.76,118.50301951999998
3.76,-3.76,119.14506751999993
3.84,-3.76,120.50790911999998
3.92,-3.76,122.63823872000002
4.0,-3.76,125.58373375999997
-4.0,-3.68,8.206197760000004
-3.92,-3.68,7.348126720000002
-3.84,-3.68,7.307269120000004
-3.76,-3.68,8.035947520000006
-3.68,-3.68,9.487467520000003
-3.6,-3.68,11.616117760000002
-3.52,-3.68,14.377169920000007
-3.44,-3.68,17.726878720000013
-3.36,-3.68,21.622481920000016
-3.2800000000000002,-3.68,26.022200319999982
